id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,FranziskaBrantner,0,w,1979,sta,dr,Sozialwissenschaften,b90,,1,14044,4470,3416,26
ft,Toncar,FlorianToncar,0,m,1979,sta,dr,Rechtsanwalt,fdp,ev,3,8588,3069,4478,99
rs,Schwarzeluehr-Suetter,RitaSchwarzeluehr-Suetter ,0,w,1962,sta,di,Betriebswirtin,spd,ka,2,4249,1534,2941,
tl,Lindner,TobiasLindner,0,m,1982,stm,dr,Wirtschaftswissenschaft,b90,,,10503,3579,4920,
bs,Strasser,BenjaminStrasser,0,m,1987,sta,di,Rechtsanwalt,fdp,ka,,5811,3920,3372,287
co,Oezdemir,CemOezdemir,0,m,1965,bmi,di,Sozialpädagogik,b90,mu,2,317180,105000,162572,
mt,Theurer,MichaelTheurer,0,m,1967,sta,di,Volkswirtschaftslehre,fdp,ev,2,8476,,27913,
ck,Kuehn,ChrisKuehn,0,m,1979,sta,di,Politikwissenschaft,b90,ev,3,4786,1659,97,35
jb,Brandenburg,JensBrandenburg,0,m,1986,sta,dr,Unternehmensberater,fdp,,,5406,3321,4141,
epc,,EuropeanPolicyCentre,1,,,,,,,,,,,,
asy,,Asylos,1,,,,,,,,,,,,
zif,,ZentrumfuerInternationaleFriedenseinsätzegemeinnützigeGmbH,1,,,,,,,,,,,,
vdf,,VereinigungDeutschFranzösischerGesellschaftenfuerEuropaeV,1,,,,,,,,,,,,
tuw,,TuWasfuerEuropae.V.,1,,,,,,,,,,,,
iep,,InstitutfuerEuropaeischePolitike.V.,1,,,,,,,,,,,,
cfr,,EuropeanCouncilonForeignRelations,1,,,,,,,,,,,,
ebd,,EuropaeischeBewegungDeutschlande.V.,1,,,,,,,,,,,,
tus,,TuWas–Stiftung für Gemeinsinn,1,,,,,,,,,,,,
hia,,HumanityinActione.V.,1,,,,,,,,,,,,
foe,,FriendsofEurope,1,,,,,,,,,,,,
dfi,,Deutsch-FranzösischesInstitute.V.,1,,,,,,,,,,,,
bmk,,BundesstiftungMutterundKind-SchutzdesungeborenenLebens,1,,,,,,,,,,,,
jdi,,JacquesDelorsInstitut–BerlingemeinnuetzigeGmbH,1,,,,,,,,,,,,
ave,,AvantiEuropee.V.,1,,,,,,,,,,,,
aae,,AusschussfuerdieAngelegenheitenderEuropaeischenUnion,1,,,,,,,,,,,,
aua,,AuswaertigerAusschuss,1,,,,,,,,,,,,
eua,,EuropaeischeUnionAusschuss,1,,,,,,,,,,,,
fse,,FamilieSeniorenFrauenundJugend,1,,,,,,,,,,,,
dfp,,Deutsch-FranzoesischeParlamentarischeVersammlung,1,,,,,,,,,,,,
bwk,,BundesministeriumfuerWirtschaftundKlimaschutz,1,,,,,,,,,,,,
kfw,,KreditanstaltfuerWiederaufbau,1,,,,,,,,,,,,
sve,,StiftungVerantwortungseigentume.V.,1,,,,,,,,,,,,
ass,,AnwaltServiceStuttgartGmbH,1,,,,,,,,,,,,
wir,,3.UntersuchungsausschussWirecard-Affaere,1,,,,,,,,,,,,
aet,,Aeltestenrat,1,,,,,,,,,,,,
aih,,AusschussfuerInneresundHeimat,1,,,,,,,,,,,,
wig,,AusschussfuerWahlpruefungImmunitaetundGeschaeftsordnung,1,,,,,,,,,,,,
fin,,Finanzausschuss,1,,,,,,,,,,,,
bdf,,BundesministeriumderFinanzen,1,,,,,,,,,,,,
wds,,WirtschaftsforumderSPDe.V.,1,,,,,,,,,,,,
dbu,,DeutscheBundesstiftungUmwelt,1,,,,,,,,,,,,
rhb,,RegionalverbandHochrhein-Bodensee,1,,,,,,,,,,,,
alu,,Albert-Ludwigs-UniversitaetFreiburgBeirat,1,,,,,,,,,,,,
gar,,GesellschaftfuerAnlagen-undReaktorsicherheitGRSmbH,1,,,,,,,,,,,,
ved,,ver.di,1,,,,,,,,,,,,
awo,,AWO,1,,,,,,,,,,,,
gvd,,GegenVergessenFuerDemokratiee.V.,1,,,,,,,,,,,,
eur,,EUROSOLAREuropaeischeVereinigungfuerErneuerbareEnergiene.V.,1,,,,,,,,,,,,
kla,,KLAR-KeinLebenmitatomarenRisikenHospizdienste.V.,1,,,,,,,,,,,,
bih,,BundesministeriumdesInnerenundfuerHeimat,1,,,,,,,,,,,,
dgf,,DeutschGeorgischesForumfuerPolitikWirtschaftundKulture.V.,1,,,,,,,,,,,,
rbg,,RolandBergerGmbH,1,,,,,,,,,,,,
eud,,Europa-UnionDeutschlande.V.,1,,,,,,,,,,,,
eow,,ErsteOstfriesescheWinzergenossenschafteG i.G.,1,,,,,,,,,,,,
dik,,DeutscheIndustrieforschungsgemeinschaftKonradZusee.V.,1,,,,,,,,,,,,
aif,,ArbeitsgemeinschaftindustriellerForschungsvereinigungenOttovonGuerickee.V.,1,,,,,,,,,,,,
kit,,KarlsruherInstitutfuerTechnologie,1,,,,,,,,,,,,
hau,,Haushaltsausschuss,1,,,,,,,,,,,,
